# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Sep 21 22:34:22 2020
#
# User preference: *
#
# CONSTRAINT:  where (pl_orbper < 10
# CONSTRAINT:  and pl_radj > .7)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [decimal]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [decimal]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_bmagerr1:    B (Johnson) Magnitude Upper Unc
# COLUMN sy_bmagerr2:    B (Johnson) Magnitude Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_jmag:        J (2MASS) Magnitude
# COLUMN sy_jmagerr1:    J (2MASS) Magnitude Upper Unc
# COLUMN sy_jmagerr2:    J (2MASS) Magnitude Lower Unc
# COLUMN sy_hmag:        H (2MASS) Magnitude
# COLUMN sy_hmagerr1:    H (2MASS) Magnitude Upper Unc
# COLUMN sy_hmagerr2:    H (2MASS) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
HATS-14 b,HATS-14,0,1,1,Transit,2015,HATSouth,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,2.76676410,0.00000270,-0.00000270,0,0.038150,0.000320,-0.000310,0,11.646,0.359,-0.247,0,1.039,0.032,-0.022,0,339.76027,29.87602,-30.82951,0,1.06900,0.09400,-0.09700,0,Mass,0.110000,,,1,,,,,,,,,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,5346.00,60.00,-60.00,0,0.93,0.02,-0.01,0,0.97,0.02,-0.02,0,0.330,0.060,-0.060,0,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h52m51.71s,313.2154754,-25d41m14.55s,-25.6873756,513.0110000,9.1275000,-9.1275000,14.8360000,0.0160000,-0.0160000,14.0520000,0.0690000,-0.0690000,12.5180000,0.0260000,-0.0260000,12.1290000,0.0230000,-0.0230000,12.0370000,0.0190000,-0.0190000,13.7712000,0.0003150,-0.0003150,2019-03-18 15:04:20,2017-06,2019-03-21
HATS-14 b,HATS-14,1,1,1,Transit,2015,HATSouth,Published Confirmed,0,<a refstr=MANCINI_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...580A..63M/abstract target=ref>Mancini et al. 2015</a>,2.76676410,0.00000270,-0.00000270,0,0.038150,0.000320,-0.000320,0,11.646,0.359,-0.247,0,1.039,0.032,-0.022,0,340.39593,22.24810,-22.24810,0,1.07100,0.07000,-0.07000,0,Mass,0.142000,,,1,,,,,1276,20,-20,0,0,<a refstr=MANCINI_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...580A..63M/abstract target=ref>Mancini et al. 2015</a>,5346.00,60.00,-60.00,0,0.93,0.02,-0.01,0,0.97,0.02,-0.02,0,0.330,0.060,-0.060,0,[Fe/H],4.48,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h52m51.71s,313.2154754,-25d41m14.55s,-25.6873756,513.0110000,9.1275000,-9.1275000,14.8360000,0.0160000,-0.0160000,14.0520000,0.0690000,-0.0690000,12.5180000,0.0260000,-0.0260000,12.1290000,0.0230000,-0.0230000,12.0370000,0.0190000,-0.0190000,13.7712000,0.0003150,-0.0003150,2015-08-12 12:34:40,2015-08,2015-08-13
K2-30 b,K2-30,1,1,1,Transit,2016,K2,Published Confirmed,0,<a refstr=JOHNSON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....151..171J/abstract target=ref>Johnson et al. 2016</a>,4.09850300,0.00001100,-0.00001100,0,0.048390,0.000760,-0.000760,0,11.646,0.560,-0.572,0,1.039,0.050,-0.051,0,184.02357,8.89924,-8.58141,0,0.57900,0.02800,-0.02700,0,Mass,0.000000,,,0,,,,,1092,19,-20,0,0,<a refstr=JOHNSON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....151..171J/abstract target=ref>Johnson et al. 2016</a>,5425.00,40.00,-40.00,0,0.84,0.03,-0.03,0,0.90,0.04,-0.04,0,-0.150,0.050,-0.050,0,[Fe/H],4.54,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h29m22.09s,52.3420548,+22d17m57.66s,22.2993491,333.0420000,2.9945000,-2.9945000,14.5060000,0.0300000,-0.0300000,13.5470000,0.0920000,-0.0920000,11.6320000,0.0190000,-0.0190000,11.1900000,0.0160000,-0.0160000,11.0880000,0.0200000,-0.0200000,13.2056000,0.0003980,-0.0003980,2016-04-13 08:49:47,2016-06,2016-04-14
Kepler-490 b,Kepler-490,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,3.26869515,0.00000023,-0.00000023,0,,,,,11.650,3.290,-1.380,0,1.039,0.294,-0.123,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,6045.00,142.42,-126.76,0,1.12,0.32,-0.13,0,1.08,0.10,-0.07,0,-0.020,0.132,-0.177,0,[Fe/H],4.37,0.09,-0.18,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h40m06.16s,295.0256620,+46d57m21.43s,46.9559536,1523.0000000,64.6250000,-64.6250000,15.0690000,0.0640000,-0.0640000,14.8430000,0.0920000,-0.0920000,13.8190000,0.0240000,-0.0240000,13.5020000,0.0260000,-0.0260000,13.4690000,0.0370000,-0.0370000,14.8173000,0.0004770,-0.0004770,2016-05-06 09:12:25,2016-05,2016-05-10
HATS-14 b,HATS-14,0,1,1,Transit,2015,HATSouth,Published Confirmed,0,<a refstr=ZHOU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...814L..16Z/abstract target=ref>Zhou et al. 2015</a>,2.76676400,0.00000300,-0.00000200,0,,,,,11.657,0.336,-0.224,0,1.040,0.030,-0.020,0,340.07810,22.24810,-22.24810,0,1.07000,0.07000,-0.07000,0,Mass,,,,,,,,,,,,,0,<a refstr=ZHOU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...814L..16Z/abstract target=ref>Zhou et al. 2015</a>,5408.00,65.00,-65.00,0,0.93,0.02,-0.02,0,0.97,0.02,-0.02,0,0.280,0.030,-0.030,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h52m51.71s,313.2154754,-25d41m14.55s,-25.6873756,513.0110000,9.1275000,-9.1275000,14.8360000,0.0160000,-0.0160000,14.0520000,0.0690000,-0.0690000,12.5180000,0.0260000,-0.0260000,12.1290000,0.0230000,-0.0230000,12.0370000,0.0190000,-0.0190000,13.7712000,0.0003150,-0.0003150,2015-11-18 13:13:49,2015-11,2015-11-19
Kepler-41 b,Kepler-41,0,1,1,Transit,2011,Kepler,Published Confirmed,0,<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>,1.85555770,0.00000030,-0.00000030,0,0.023960,0.000810,-0.000800,0,11.657,0.392,-0.392,0,1.040,0.035,-0.035,0,177.98480,31.33804,-29.55819,0,0.56000,0.09860,-0.09300,0,Mass,,,,,,,,,1770,50,-50,0,0,<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>,5620.00,140.00,-140.00,0,1.02,0.03,-0.03,0,1.12,0.07,-0.07,0,0.290,0.160,-0.160,0,[Fe/H],4.47,0.12,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h38m03.18s,294.5132465,+45d58m53.92s,45.9816453,1093.0800000,27.0000000,-27.0000000,15.3670000,0.0190000,-0.0190000,14.5090000,0.0920000,-0.0920000,13.2620000,0.0220000,-0.0220000,12.9380000,0.0240000,-0.0240000,12.8920000,0.0280000,-0.0280000,14.4130000,0.0003220,-0.0003220,2016-05-03 21:58:02,2015-05,2015-10-15
WASP-83 b,WASP-83,0,1,1,Transit,2015,SuperWASP,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,4.97125200,0.00001500,-0.00001500,0,0.059000,0.001500,-0.001600,0,11.657,0.897,-0.560,0,1.040,0.080,-0.050,0,96.93815,11.75971,-11.12405,0,0.30500,0.03700,-0.03500,0,Mass,0.120000,,,1,,,,,,,,,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,5480.00,110.00,-110.00,0,1.05,0.06,-0.04,0,1.11,0.09,-0.09,0,0.290,0.120,-0.120,0,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h40m36.47s,190.1519558,-19d17m03.67s,-19.2843527,271.1030000,3.6670000,-3.6670000,12.7700000,0.6100000,-0.6100000,12.3120000,0.0800000,-0.0800000,10.8040000,0.0200000,-0.0200000,10.4710000,0.0260000,-0.0260000,10.3930000,0.0230000,-0.0230000,12.0084000,0.0002290,-0.0002290,2019-03-18 15:05:54,2017-06,2019-03-21
WASP-83 b,WASP-83,1,1,1,Transit,2015,SuperWASP,Published Confirmed,0,<a refstr=HELLIER_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150...18H/abstract target=ref>Hellier et al. 2015</a>,4.97125200,0.00001500,-0.00001500,0,0.059000,0.001000,-0.001000,0,11.657,0.897,-0.560,0,1.040,0.080,-0.050,0,95.34900,9.53490,-9.53490,0,0.30000,0.03000,-0.03000,0,Mass,0.000000,,,0,,,,,1120,30,-30,0,0,<a refstr=HELLIER_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150...18H/abstract target=ref>Hellier et al. 2015</a>,5510.00,110.00,-110.00,0,1.05,0.06,-0.04,0,1.11,0.09,-0.09,0,0.290,0.120,-0.120,0,[Fe/H],4.44,0.02,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h40m36.47s,190.1519558,-19d17m03.67s,-19.2843527,271.1030000,3.6670000,-3.6670000,12.7700000,0.6100000,-0.6100000,12.3120000,0.0800000,-0.0800000,10.8040000,0.0200000,-0.0200000,10.4710000,0.0260000,-0.0260000,10.3930000,0.0230000,-0.0230000,12.0084000,0.0002290,-0.0002290,2015-07-08 12:29:10,2015-07,2015-07-09
WASP-89 b,WASP-89,0,1,1,Transit,2015,SuperWASP,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,3.35642270,0.00000250,-0.00000250,0,0.042800,0.001200,-0.001300,0,11.657,0.448,-0.448,0,1.040,0.040,-0.040,0,1843.41400,108.06220,-114.41880,0,5.80000,0.34000,-0.36000,0,Mass,0.192800,0.010000,-0.009400,0,,,,,,,,,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,5000.00,100.00,-100.00,0,0.88,0.03,-0.03,0,0.92,0.08,-0.08,0,0.150,0.140,-0.140,0,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h55m36.01s,313.9000261,-18d58m17.07s,-18.9714084,290.9460000,2.6685000,-2.6685000,14.1860000,0.0410000,-0.0410000,13.2100000,0.1030000,-0.1030000,11.5460000,0.0240000,-0.0240000,11.0940000,0.0210000,-0.0210000,11.0040000,0.0210000,-0.0210000,12.9890000,0.0005280,-0.0005280,2019-03-18 15:05:56,2017-06,2019-03-21
WASP-89 b,WASP-89,1,1,1,Transit,2015,SuperWASP,Published Confirmed,0,<a refstr=HELLIER_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150...18H/abstract target=ref>Hellier et al. 2015</a>,3.35642270,0.00000250,-0.00000250,0,0.042700,0.001200,-0.001200,0,11.657,0.448,-0.448,0,1.040,0.040,-0.040,0,1875.19700,127.13200,-127.13200,0,5.90000,0.40000,-0.40000,0,Mass,0.193000,0.009000,-0.009000,0,,,,,1120,20,-20,0,0,<a refstr=HELLIER_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150...18H/abstract target=ref>Hellier et al. 2015</a>,5130.00,90.00,-90.00,0,0.88,0.03,-0.03,0,0.92,0.08,-0.08,0,0.150,0.140,-0.140,0,[Fe/H],4.51,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h55m36.01s,313.9000261,-18d58m17.07s,-18.9714084,290.9460000,2.6685000,-2.6685000,14.1860000,0.0410000,-0.0410000,13.2100000,0.1030000,-0.1030000,11.5460000,0.0240000,-0.0240000,11.0940000,0.0210000,-0.0210000,11.0040000,0.0210000,-0.0210000,12.9890000,0.0005280,-0.0005280,2015-07-08 12:29:10,2015-07,2015-07-09
Kepler-43 b,Kepler-43,0,1,1,Transit,2011,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,3.02409255,0.00000016,-0.00000016,0,,,,,11.670,0.820,-0.710,0,1.041,0.073,-0.063,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,5988.00,66.54,-67.42,0,1.30,0.09,-0.08,0,1.17,0.04,-0.05,0,0.240,0.081,-0.081,0,[Fe/H],4.27,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h00m57.80s,285.2408288,+46d40m05.67s,46.6682411,1005.8400000,14.1900000,-14.1900000,14.7030000,0.0080000,-0.0080000,13.9860000,0.1490000,-0.1490000,12.8580000,0.0220000,-0.0220000,12.6050000,0.0200000,-0.0200000,12.5490000,0.0310000,-0.0310000,13.8894000,0.0002730,-0.0002730,2016-05-06 09:25:06,2016-05,2016-05-10
Kepler-426 b,Kepler-426,0,1,1,Transit,2014,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,3.21751859,0.00000018,-0.00000018,0,,,,,11.680,1.550,-0.840,0,1.042,0.138,-0.075,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,5603.00,92.83,-90.76,0,0.91,0.12,-0.07,0,0.93,0.05,-0.05,0,-0.050,0.139,-0.168,0,[Fe/H],4.50,0.05,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h17m44.32s,289.4346668,+49d28m24.44s,49.4734550,843.6950000,13.6680000,-13.6680000,15.7360000,0.0210000,-0.0210000,15.0320000,0.1600000,-0.1600000,13.6240000,0.0260000,-0.0260000,13.2300000,0.0330000,-0.0330000,13.2120000,0.0330000,-0.0330000,14.8069000,0.0002920,-0.0002920,2016-05-06 09:33:34,2016-05,2016-05-10
WASP-2 b,WASP-2,0,2,1,Transit,2007,SuperWASP,Published Confirmed,0,<a refstr=SOUTHWORTH_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.408.1680S/abstract target=ref>Southworth et al. 2010</a>,2.15222144,0.00000039,-0.00000039,0,0.030330,0.000740,-0.000740,0,11.691,0.359,-0.359,0,1.043,0.032,-0.032,0,269.20201,14.30235,-14.30235,0,0.84700,0.04500,-0.04500,0,Mass,,,,,,,,,1281,21,-21,0,0,<a refstr=SOUTHWORTH_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.408.1680S/abstract target=ref>Southworth et al. 2010</a>,5150.00,80.00,-80.00,0,0.81,0.02,-0.02,0,0.80,0.06,-0.06,0,-0.080,0.080,-0.080,0,[Fe/H],4.53,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h30m54.13s,307.7255587,+06d25m45.59s,6.4293305,153.2420000,1.6225000,-1.6225000,12.6920000,0.0410000,-0.0410000,11.7280000,0.0340000,-0.0340000,10.1660000,0.0270000,-0.0270000,9.7520000,0.0260000,-0.0260000,9.6320000,0.0240000,-0.0240000,11.5638000,0.0010190,-0.0010190,2019-09-23 17:48:32,2010-11,2016-01-14
WASP-2 b,WASP-2,0,2,1,Transit,2007,SuperWASP,Published Confirmed,0,<a refstr=SOUTHWORTH_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.408.1689S/abstract target=ref> Southworth 2010 </a>,2.15222144,0.00000039,-0.00000039,0,0.030330,0.000740,-0.000740,0,11.691,0.370,-0.370,0,1.043,0.033,-0.033,0,269.20201,14.30235,-14.30235,0,0.84700,0.04500,-0.04500,0,Mass,,,,,,,,,1281,21,-21,0,0,<a refstr=SOUTHWORTH_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.408.1689S/abstract target=ref> Southworth 2010 </a>,5150.00,80.00,-80.00,0,0.81,0.02,-0.02,0,0.80,0.06,-0.06,0,-0.080,0.080,-0.080,0,[Fe/H],4.53,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h30m54.13s,307.7255587,+06d25m45.59s,6.4293305,153.2420000,1.6225000,-1.6225000,12.6920000,0.0410000,-0.0410000,11.7280000,0.0340000,-0.0340000,10.1660000,0.0270000,-0.0270000,9.7520000,0.0260000,-0.0260000,9.6320000,0.0240000,-0.0240000,11.5638000,0.0010190,-0.0010190,2019-09-23 17:48:32,2010-11,2016-01-14
CoRoT-23 b,CoRoT-23,0,1,1,Transit,2011,CoRoT,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,3.63130000,0.00010000,-0.00010000,0,0.048400,0.001100,-0.001200,0,11.769,1.457,-1.457,0,1.050,0.130,-0.130,0,982.09470,104.88390,-104.88390,0,3.09000,0.33000,-0.33000,0,Mass,0.160000,,,1,,,,,,,,,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,5900.00,100.00,-100.00,0,1.61,0.18,-0.18,0,1.14,0.08,-0.08,0,0.050,0.100,-0.100,0,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h39m07.84s,279.7826586,+04d21m27.91s,4.3577516,1060.9700000,43.7050000,-43.7050000,16.7270000,0.3300000,-0.3300000,15.6750000,0.2060000,-0.2060000,12.9440000,0.0260000,-0.0260000,12.4500000,0.0290000,-0.0290000,12.3640000,0.0320000,-0.0320000,15.0681000,0.0004090,-0.0004090,2019-03-18 15:03:36,2017-06,2019-03-21
